boot_id,n_spacing_modes,spacing_mode_center_1,jitter_boundary_1,jitter_boundary_2,occupancy_boundary_1,occupancy_boundary_2
157,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.2545454545454545,0.2823793490460157
158,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.2303030303030303,0.2545454545454545
159,1,2.3193359375,0.2938578491475432,0.30118632883178226,0.20606060606060606,0.2424242424242424
160,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.20606060606060606,0.2424242424242424
161,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.20606060606060606,0.2424242424242424
162,1,2.3193359375,0.2840817661155349,0.2923163461405639,0.19012345679012346,0.21212121212121213
163,1,2.3193359375,0.27748355044734135,0.2799644761030204,0.21818181818181817,0.27025813692480355
164,1,2.3193359375,0.2840817661155349,0.2923163461405639,0.18518518518518517,0.25925925925925924
165,1,2.3193359375,0.27748355044734135,0.2799644761030204,0.21818181818181817,0.27025813692480355
166,1,2.3193359375,0.28459560045119464,0.30118632883178226,0.20606060606060606,0.2424242424242424
167,1,2.3193359375,0.27748355044734135,0.2799644761030204,0.21818181818181817,0.27025813692480355
168,1,2.3193359375,0.2799644761030204,0.2881990561280494,0.20606060606060606,0.27025813692480355
169,1,2.3193359375,0.2799644761030204,0.2799644761030204,0.24421997755331087,0.2962962962962963
170,1,2.3193359375,0.27624308761950184,0.2953147416557685,0.20606060606060606,0.21818181818181817
171,1,2.3193359375,0.27748355044734135,0.2881990561280494,0.20606060606060606,0.21818181818181817
172,1,2.3193359375,0.27624308761950184,0.27872401327518087,0.21818181818181817,0.21818181818181817
173,1,2.3193359375,0.27748355044734135,0.2881990561280494,0.21818181818181817,0.2424242424242424
174,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.21818181818181817,0.2823793490460157
175,1,2.3193359375,0.29283018047622367,0.2938578491475432,0.20830527497194162,0.2545454545454545
176,1,2.3193359375,0.27748355044734135,0.2799644761030204,0.2303030303030303,0.2823793490460157
177,1,2.3193359375,0.2799644761030204,0.2881990561280494,0.23209876543209876,0.2962962962962963
178,1,2.3193359375,0.2840817661155349,0.2923163461405639,0.1961840628507295,0.2424242424242424
179,1,2.3193359375,0.2840817661155349,0.2923163461405639,0.20830527497194162,0.2823793490460157
180,1,2.3193359375,0.2799644761030204,0.28922672479936895,0.2303030303030303,0.2823793490460157
181,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.21818181818181817,0.2823793490460157
182,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.20606060606060606,0.2424242424242424
183,1,2.3193359375,0.29283018047622367,0.2938578491475432,0.19012345679012346,0.23636363636363633
184,1,2.3193359375,0.28459560045119464,0.2938578491475432,0.2303030303030303,0.2545454545454545
185,1,2.3193359375,0.2938578491475432,0.2938578491475432,0.2303030303030303,0.2545454545454545
186,1,2.3193359375,0.29283018047622367,0.2938578491475432,0.19012345679012346,0.23636363636363633
187,1,2.3193359375,0.2799644761030204,0.28922672479936895,0.2545454545454545,0.2823793490460157
188,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.2303030303030303,0.2545454545454545
189,1,2.3193359375,0.27748355044734135,0.2799644761030204,0.21818181818181817,0.27025813692480355
190,1,2.3193359375,0.2923163461405639,0.29334401481188344,0.19012345679012346,0.23636363636363633
191,1,2.3193359375,0.2923163461405639,0.29334401481188344,0.1961840628507295,0.2424242424242424
192,1,2.3193359375,0.27748355044734135,0.28922672479936895,0.21818181818181817,0.2424242424242424
193,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.20606060606060606,0.2424242424242424
194,1,2.3193359375,0.2938578491475432,0.2938578491475432,0.2545454545454545,0.2545454545454545
195,1,2.3193359375,0.2938578491475432,0.30118632883178226,0.21818181818181817,0.2545454545454545
196,1,2.3193359375,0.29283018047622367,0.2938578491475432,0.20830527497194162,0.2545454545454545
197,1,2.3193359375,0.2923163461405639,0.3006724944961225,0.18518518518518517,0.19506172839506172
198,1,2.3193359375,0.2938578491475432,0.2938578491475432,0.2545454545454545,0.2545454545454545
199,1,2.3193359375,0.29283018047622367,0.2938578491475432,0.20606060606060606,0.2424242424242424
200,1,2.3193359375,0.27748355044734135,0.2881990561280494,0.21818181818181817,0.2424242424242424
201,1,2.3193359375,0.28160084045985584,0.29334401481188344,0.21818181818181817,0.2424242424242424
202,1,2.3193359375,0.29752208898966276,0.3048505686739018,0.2,0.2
203,1,2.3193359375,0.2799644761030204,0.28922672479936895,0.2303030303030303,0.2823793490460157
204,1,2.3193359375,0.27624308761950184,0.27872401327518087,0.21818181818181817,0.27025813692480355
205,1,2.3193359375,0.28459560045119464,0.30118632883178226,0.21818181818181817,0.2823793490460157
206,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.21818181818181817,0.2823793490460157
207,1,2.3193359375,0.27748355044734135,0.2881990561280494,0.21818181818181817,0.2424242424242424
208,1,2.3193359375,0.2923163461405639,0.29334401481188344,0.19012345679012346,0.21212121212121213
209,1,2.3193359375,0.2840817661155349,0.2923163461405639,0.19012345679012346,0.2641975308641975
210,1,2.3193359375,0.28459560045119464,0.2938578491475432,0.2303030303030303,0.2545454545454545
211,1,2.3193359375,0.29283018047622367,0.2938578491475432,0.20606060606060606,0.2424242424242424
212,1,2.3193359375,0.2923163461405639,0.2923163461405639,0.18518518518518517,0.18518518518518517
213,1,2.3193359375,0.2840817661155349,0.3006724944961225,0.2,0.21212121212121213
214,1,2.3193359375,0.29283018047622367,0.2938578491475432,0.19012345679012346,0.23636363636363633
215,1,2.3193359375,0.2799644761030204,0.2881990561280494,0.2303030303030303,0.2823793490460157
216,1,2.3193359375,0.27624308761950184,0.28798626197152943,0.21818181818181817,0.21818181818181817
217,1,2.3193359375,0.27624308761950184,0.27872401327518087,0.21818181818181817,0.21818181818181817
218,1,2.3193359375,0.2938578491475432,0.30118632883178226,0.20606060606060606,0.2424242424242424
219,1,2.3193359375,0.2799644761030204,0.2881990561280494,0.2303030303030303,0.2823793490460157
220,1,2.3193359375,0.28459560045119464,0.2938578491475432,0.2303030303030303,0.2545454545454545
221,1,2.3193359375,0.27748355044734135,0.2799644761030204,0.21818181818181817,0.27025813692480355
222,1,2.3193359375,0.2840817661155349,0.3006724944961225,0.2,0.2641975308641975
223,1,2.3193359375,0.29283018047622367,0.2938578491475432,0.2303030303030303,0.2545454545454545
224,1,2.3193359375,0.2799644761030204,0.296555204483608,0.20606060606060606,0.27025813692480355
225,1,2.3193359375,0.28160084045985584,0.2923163461405639,0.1961840628507295,0.21818181818181817
226,1,2.3193359375,0.2923163461405639,0.2923163461405639,0.18518518518518517,0.18518518518518517
227,1,2.3193359375,0.2923163461405639,0.29334401481188344,0.19012345679012346,0.23636363636363633
228,1,2.3193359375,0.27624308761950184,0.2953147416557685,0.20606060606060606,0.21818181818181817
